"","CNTRY_NAME","COWCODE","GWCODE","year","cname","ccode"
"3","Venezuela",101,101,1960,"VENEZUELA, BOLIVARIAN REPUBLIC OF",101
"6","Argentina",160,160,1960,"ARGENTINA",160
"7","Bolivia",145,145,1960,"BOLIVIA, PLURINATIONAL STATE OF",145
"8","Brazil",140,140,1960,"BRAZIL",140
"9","Chile",155,155,1960,"CHILE",155
"10","Ecuador",130,130,1960,"ECUADOR",130
"11","Paraguay",150,150,1960,"PARAGUAY",150
"12","Peru",135,135,1960,"PERU",135
"13","Uruguay",165,165,1960,"URUGUAY",165
"15","Guatemala",90,90,1960,"GUATEMALA",90
"16","Mexico",70,70,1960,"MEXICO",70
"22","Dominican Republic",42,42,1960,"DOMINICAN REPUBLIC",42
"23","Haiti",41,41,1960,"HAITI",41
"27","Colombia",100,100,1960,"COLOMBIA",100
"28","Costa Rica",94,94,1960,"COSTA RICA",94
"29","Cuba",40,40,1960,"CUBA",40
"30","El Salvador",92,92,1960,"EL SALVADOR",92
"31","Honduras",91,91,1960,"HONDURAS",91
"32","Nicaragua",93,93,1960,"NICARAGUA",93
"33","Panama",95,95,1960,"PANAMA",95
"36","Iceland",395,395,1960,"ICELAND",395
"37","Ireland",205,205,1960,"IRELAND",205
"38","United Kingdom",200,200,1960,"UNITED KINGDOM",200
"40","Cote d'Ivoire",437,437,1960,"COTE D'IVOIRE",437
"41","Ghana",452,452,1960,"GHANA",452
"42","Liberia",450,450,1960,"LIBERIA",450
"44","Portugal",235,235,1960,"PORTUGAL",235
"45","Spain",230,230,1960,"SPAIN",230
"46","Burkina Faso",439,439,1960,"BURKINA FASO",439
"47","Guinea",438,438,1960,"GUINEA",438
"49","Mali",432,432,1960,"MALI",432
"50","Mauritania",435,435,1960,"MAURITANIA",435
"51","Senegal",433,433,1960,"SENEGAL",433
"57","Mongolia",712,712,1960,"MONGOLIA",712
"58","Sudan",625,625,1960,"SUDAN",625
"60","Iraq",645,645,1960,"IRAQ",645
"61","Israel",666,666,1960,"ISRAEL",666
"62","Jordan",663,663,1960,"JORDAN",663
"64","Norway",385,385,1960,"NORWAY",385
"66","Sweden",380,380,1960,"SWEDEN",380
"68","Andorra",232,232,1960,"ANDORRA",232
"70","Central African Republic",482,482,1960,"CENTRAL AFRICAN REPUBLIC",482
"71","Libya",620,620,1960,"LIBYAN ARAB JAMAHIRIYA",620
"72","Monaco",221,221,1960,"MONACO",221
"73","Tunisia",616,616,1960,"TUNISIA",616
"74","Benin",434,434,1960,"BENIN",434
"75","Chad",483,483,1960,"CHAD",483
"78","Niger",436,436,1960,"NIGER",436
"81","Togo",461,461,1960,"TOGO",461
"82","Albania",339,339,1960,"ALBANIA",339
"85","Italy",325,325,1960,"ITALY",325
"88","San Marino",331,331,1960,"SAN MARINO",331
"90","Bulgaria",355,355,1960,"BULGARIA",355
"91","Cyprus",352,352,1960,"CYPRUS",352
"92","Egypt",651,651,1960,"EGYPT",651
"94","Greece",350,350,1960,"GREECE",350
"95","Lebanon",660,660,1960,"LEBANON",660
"96","Syria",652,652,1960,"SYRIAN ARAB REPUBLIC",652
"97","Turkey",640,640,1960,"TURKEY",640
"98","Austria",305,305,1960,"AUSTRIA",305
"100","Denmark",390,390,1960,"DENMARK",390
"101","Hungary",310,310,1960,"HUNGARY",310
"102","Poland",290,290,1960,"POLAND",290
"105","Belgium",211,211,1960,"BELGIUM",211
"106","France",220,220,1960,"FRANCE",220
"107","Liechtenstein",223,223,1960,"LIECHTENSTEIN",223
"108","Luxembourg",212,212,1960,"LUXEMBOURG",212
"109","Netherlands",210,210,1960,"NETHERLANDS",210
"110","Switzerland",225,225,1960,"SWITZERLAND",225
"113","Finland",375,375,1960,"FINLAND",375
"117","Romania",360,360,1960,"ROMANIA",360
"120","Oman",698,698,1960,"OMAN",698
"121","Somalia",520,520,1960,"SOMALIA",520
"122","Sri Lanka",780,780,1960,"SRI LANKA",780
"129","Iran",630,630,1960,"IRAN, ISLAMIC REPUBLIC OF",630
"134","Afghanistan",700,700,1960,"AFGHANISTAN",700
"136","Nepal",790,790,1960,"NEPAL",790
"140","Bhutan",760,760,1960,"BHUTAN",760
"143","Japan",740,740,1960,"JAPAN",740
"144","North Korea",731,731,1960,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",731
"146","Philippines",840,840,1960,"PHILIPPINES",840
"147","South Korea",732,732,1960,"KOREA, REPUBLIC OF",732
"148","Cambodia",811,811,1960,"CAMBODIA",811
"149","Laos",812,812,1960,"LAO PEOPLE'S DEMOCRATIC REPUBLIC",812
"150","Myanmar",775,775,1960,"MYANMAR",775
"151","Thailand",800,800,1960,"THAILAND",800
"169","Congo",484,484,1960,"CONGO, REPUBLIC OF",484
"170","Congo, Democratic Republic of",490,490,1960,"CONGO, THE DEMOCRATIC REPUBLIC OF",490
"172","Gabon",481,481,1960,"GABON",481
"174","New Zealand",920,920,1960,"NEW ZEALAND",920
"175","Madagascar",580,580,1960,"MADAGASCAR",580
"178","Indonesia",850,850,1960,"INDONESIA",850
"180","Australia",900,900,1960,"AUSTRALIA",900
"186","Canada",20,20,1960,"CANADA",20
"188","Germany Federal Republic",260,260,1960,"GERMANY",260
"189","Germany Democratic Republic",265,265,1960,"German Democratic Republic",265
"190","Czechoslovakia",315,315,1960,"Czechoslovakia",315
"191","Yugoslavia",345,345,1960,"Yugoslavia",345
"192","USSR",365,365,1960,"RUSSIAN FEDERATION",365
"195","Ethiopia",530,530,1960,"ETHIOPIA",530
"196","South Africa",560,560,1960,"SOUTH AFRICA",560
"200","Yemen Arab Republic",678,678,1960,"YEMEN",678
"202","Taiwan",713,713,1960,"TAIWAN, PROVINCE OF CHINA",713
"203","China",710,710,1960,"CHINA",710
"204","Pakistan",770,770,1960,"PAKISTAN",770
"205","Republic of Vietnam",817,817,1960,"VIETNAM",817
"206","Vietnam",816,816,1960,"VIETNAM",816
"208","Malaysia",820,820,1960,"MALAYSIA",820
"215","Cameroon",471,471,1960,"CAMEROON",471
"216","Nigeria",475,475,1960,"NIGERIA",475
"219","Morocco",600,600,1960,"MOROCCO",600
"227","India",750,750,1960,"INDIA",750
"238","United States",2,2,1960,"UNITED STATES",2
"239","Saudi Arabia",670,670,1960,"SAUDI ARABIA",670
"34","Venezuela",101,101,1961,"VENEZUELA, BOLIVARIAN REPUBLIC OF",101
"63","Argentina",160,160,1961,"ARGENTINA",160
"76","Bolivia",145,145,1961,"BOLIVIA, PLURINATIONAL STATE OF",145
"83","Brazil",140,140,1961,"BRAZIL",140
"93","Chile",155,155,1961,"CHILE",155
"103","Ecuador",130,130,1961,"ECUADOR",130
"111","Paraguay",150,150,1961,"PARAGUAY",150
"123","Peru",135,135,1961,"PERU",135
"131","Uruguay",165,165,1961,"URUGUAY",165
"152","Guatemala",90,90,1961,"GUATEMALA",90
"161","Mexico",70,70,1961,"MEXICO",70
"221","Dominican Republic",42,42,1961,"DOMINICAN REPUBLIC",42
"231","Haiti",41,41,1961,"HAITI",41
"271","Colombia",100,100,1961,"COLOMBIA",100
"281","Costa Rica",94,94,1961,"COSTA RICA",94
"291","Cuba",40,40,1961,"CUBA",40
"301","El Salvador",92,92,1961,"EL SALVADOR",92
"311","Honduras",91,91,1961,"HONDURAS",91
"321","Nicaragua",93,93,1961,"NICARAGUA",93
"331","Panama",95,95,1961,"PANAMA",95
"361","Iceland",395,395,1961,"ICELAND",395
"371","Ireland",205,205,1961,"IRELAND",205
"381","United Kingdom",200,200,1961,"UNITED KINGDOM",200
"401","Cote d'Ivoire",437,437,1961,"COTE D'IVOIRE",437
"411","Ghana",452,452,1961,"GHANA",452
"421","Liberia",450,450,1961,"LIBERIA",450
"441","Portugal",235,235,1961,"PORTUGAL",235
"451","Spain",230,230,1961,"SPAIN",230
"461","Burkina Faso",439,439,1961,"BURKINA FASO",439
"471","Guinea",438,438,1961,"GUINEA",438
"491","Mali",432,432,1961,"MALI",432
"501","Mauritania",435,435,1961,"MAURITANIA",435
"511","Senegal",433,433,1961,"SENEGAL",433
"52","Sierra Leone",451,451,1961,"SIERRA LEONE",451
"571","Mongolia",712,712,1961,"MONGOLIA",712
"581","Sudan",625,625,1961,"SUDAN",625
"601","Iraq",645,645,1961,"IRAQ",645
"611","Israel",666,666,1961,"ISRAEL",666
"621","Jordan",663,663,1961,"JORDAN",663
"641","Norway",385,385,1961,"NORWAY",385
"661","Sweden",380,380,1961,"SWEDEN",380
"681","Andorra",232,232,1961,"ANDORRA",232
"69","Cameroon",471,471,1961,"CAMEROON",471
"701","Central African Republic",482,482,1961,"CENTRAL AFRICAN REPUBLIC",482
"711","Libya",620,620,1961,"LIBYAN ARAB JAMAHIRIYA",620
"721","Monaco",221,221,1961,"MONACO",221
"731","Tunisia",616,616,1961,"TUNISIA",616
"741","Benin",434,434,1961,"BENIN",434
"751","Chad",483,483,1961,"CHAD",483
"781","Niger",436,436,1961,"NIGER",436
"79","Nigeria",475,475,1961,"NIGERIA",475
"811","Togo",461,461,1961,"TOGO",461
"821","Albania",339,339,1961,"ALBANIA",339
"851","Italy",325,325,1961,"ITALY",325
"881","San Marino",331,331,1961,"SAN MARINO",331
"901","Bulgaria",355,355,1961,"BULGARIA",355
"911","Cyprus",352,352,1961,"CYPRUS",352
"921","Egypt",651,651,1961,"EGYPT",651
"941","Greece",350,350,1961,"GREECE",350
"951","Lebanon",660,660,1961,"LEBANON",660
"961","Syria",652,652,1961,"SYRIAN ARAB REPUBLIC",652
"971","Turkey",640,640,1961,"TURKEY",640
"981","Austria",305,305,1961,"AUSTRIA",305
"1001","Denmark",390,390,1961,"DENMARK",390
"1011","Hungary",310,310,1961,"HUNGARY",310
"1021","Poland",290,290,1961,"POLAND",290
"1051","Belgium",211,211,1961,"BELGIUM",211
"1061","France",220,220,1961,"FRANCE",220
"1071","Liechtenstein",223,223,1961,"LIECHTENSTEIN",223
"1081","Luxembourg",212,212,1961,"LUXEMBOURG",212
"1091","Netherlands",210,210,1961,"NETHERLANDS",210
"1101","Switzerland",225,225,1961,"SWITZERLAND",225
"1131","Finland",375,375,1961,"FINLAND",375
"1171","Romania",360,360,1961,"ROMANIA",360
"1201","Oman",698,698,1961,"OMAN",698
"1211","Somalia",520,520,1961,"SOMALIA",520
"1221","Sri Lanka",780,780,1961,"SRI LANKA",780
"1291","Iran",630,630,1961,"IRAN, ISLAMIC REPUBLIC OF",630
"130","Kuwait",690,690,1961,"KUWAIT",690
"1341","Afghanistan",700,700,1961,"AFGHANISTAN",700
"1361","Nepal",790,790,1961,"NEPAL",790
"1401","Bhutan",760,760,1961,"BHUTAN",760
"1431","Japan",740,740,1961,"JAPAN",740
"1441","North Korea",731,731,1961,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",731
"1461","Philippines",840,840,1961,"PHILIPPINES",840
"1471","South Korea",732,732,1961,"KOREA, REPUBLIC OF",732
"1481","Cambodia",811,811,1961,"CAMBODIA",811
"1491","Laos",812,812,1961,"LAO PEOPLE'S DEMOCRATIC REPUBLIC",812
"1501","Myanmar",775,775,1961,"MYANMAR",775
"1511","Thailand",800,800,1961,"THAILAND",800
"1691","Congo",484,484,1961,"CONGO, REPUBLIC OF",484
"1701","Congo, Democratic Republic of",490,490,1961,"CONGO, THE DEMOCRATIC REPUBLIC OF",490
"1721","Gabon",481,481,1961,"GABON",481
"1741","New Zealand",920,920,1961,"NEW ZEALAND",920
"1751","Madagascar",580,580,1961,"MADAGASCAR",580
"1781","Indonesia",850,850,1961,"INDONESIA",850
"1801","Australia",900,900,1961,"AUSTRALIA",900
"1861","Canada",20,20,1961,"CANADA",20
"1881","Germany Federal Republic",260,260,1961,"GERMANY",260
"1891","Germany Democratic Republic",265,265,1961,"German Democratic Republic",265
"1901","Czechoslovakia",315,315,1961,"Czechoslovakia",315
"1911","Yugoslavia",345,345,1961,"Yugoslavia",345
"1921","USSR",365,365,1961,"RUSSIAN FEDERATION",365
"193","Tanzania",510,510,1961,"TANZANIA, UNITED REPUBLIC OF",510
"1951","Ethiopia",530,530,1961,"ETHIOPIA",530
"1961","South Africa",560,560,1961,"SOUTH AFRICA",560
"2001","Yemen Arab Republic",678,678,1961,"YEMEN",678
"2021","Taiwan",713,713,1961,"TAIWAN, PROVINCE OF CHINA",713
"2031","China",710,710,1961,"CHINA",710
"2041","Pakistan",770,770,1961,"PAKISTAN",770
"2051","Republic of Vietnam",817,817,1961,"VIETNAM",817
"2061","Vietnam",816,816,1961,"VIETNAM",816
"2081","Malaysia",820,820,1961,"MALAYSIA",820
"2191","Morocco",600,600,1961,"MOROCCO",600
"2271","India",750,750,1961,"INDIA",750
"2381","United States",2,2,1961,"UNITED STATES",2
"2391","Saudi Arabia",670,670,1961,"SAUDI ARABIA",670
"2","Trinidad and Tobago",52,52,1962,"TRINIDAD AND TOBAGO",52
"35","Venezuela",101,101,1962,"VENEZUELA, BOLIVARIAN REPUBLIC OF",101
"4","Samoa",990,990,1962,"SAMOA",990
"65","Argentina",160,160,1962,"ARGENTINA",160
"77","Bolivia",145,145,1962,"BOLIVIA, PLURINATIONAL STATE OF",145
"84","Brazil",140,140,1962,"BRAZIL",140
"99","Chile",155,155,1962,"CHILE",155
"104","Ecuador",130,130,1962,"ECUADOR",130
"112","Paraguay",150,150,1962,"PARAGUAY",150
"124","Peru",135,135,1962,"PERU",135
"132","Uruguay",165,165,1962,"URUGUAY",165
"153","Guatemala",90,90,1962,"GUATEMALA",90
"162","Mexico",70,70,1962,"MEXICO",70
"222","Dominican Republic",42,42,1962,"DOMINICAN REPUBLIC",42
"232","Haiti",41,41,1962,"HAITI",41
"24","Jamaica",51,51,1962,"JAMAICA",51
"272","Colombia",100,100,1962,"COLOMBIA",100
"282","Costa Rica",94,94,1962,"COSTA RICA",94
"292","Cuba",40,40,1962,"CUBA",40
"302","El Salvador",92,92,1962,"EL SALVADOR",92
"312","Honduras",91,91,1962,"HONDURAS",91
"322","Nicaragua",93,93,1962,"NICARAGUA",93
"332","Panama",95,95,1962,"PANAMA",95
"362","Iceland",395,395,1962,"ICELAND",395
"372","Ireland",205,205,1962,"IRELAND",205
"382","United Kingdom",200,200,1962,"UNITED KINGDOM",200
"402","Cote d'Ivoire",437,437,1962,"COTE D'IVOIRE",437
"412","Ghana",452,452,1962,"GHANA",452
"422","Liberia",450,450,1962,"LIBERIA",450
"442","Portugal",235,235,1962,"PORTUGAL",235
"452","Spain",230,230,1962,"SPAIN",230
"462","Burkina Faso",439,439,1962,"BURKINA FASO",439
"472","Guinea",438,438,1962,"GUINEA",438
"492","Mali",432,432,1962,"MALI",432
"502","Mauritania",435,435,1962,"MAURITANIA",435
"512","Senegal",433,433,1962,"SENEGAL",433
"521","Sierra Leone",451,451,1962,"SIERRA LEONE",451
"572","Mongolia",712,712,1962,"MONGOLIA",712
"582","Sudan",625,625,1962,"SUDAN",625
"59","Uganda",500,500,1962,"UGANDA",500
"602","Iraq",645,645,1962,"IRAQ",645
"612","Israel",666,666,1962,"ISRAEL",666
"622","Jordan",663,663,1962,"JORDAN",663
"642","Norway",385,385,1962,"NORWAY",385
"662","Sweden",380,380,1962,"SWEDEN",380
"67","Algeria",615,615,1962,"ALGERIA",615
"682","Andorra",232,232,1962,"ANDORRA",232
"691","Cameroon",471,471,1962,"CAMEROON",471
"702","Central African Republic",482,482,1962,"CENTRAL AFRICAN REPUBLIC",482
"712","Libya",620,620,1962,"LIBYAN ARAB JAMAHIRIYA",620
"722","Monaco",221,221,1962,"MONACO",221
"732","Tunisia",616,616,1962,"TUNISIA",616
"742","Benin",434,434,1962,"BENIN",434
"752","Chad",483,483,1962,"CHAD",483
"782","Niger",436,436,1962,"NIGER",436
"791","Nigeria",475,475,1962,"NIGERIA",475
"812","Togo",461,461,1962,"TOGO",461
"822","Albania",339,339,1962,"ALBANIA",339
"852","Italy",325,325,1962,"ITALY",325
"882","San Marino",331,331,1962,"SAN MARINO",331
"902","Bulgaria",355,355,1962,"BULGARIA",355
"912","Cyprus",352,352,1962,"CYPRUS",352
"922","Egypt",651,651,1962,"EGYPT",651
"942","Greece",350,350,1962,"GREECE",350
"952","Lebanon",660,660,1962,"LEBANON",660
"962","Syria",652,652,1962,"SYRIAN ARAB REPUBLIC",652
"972","Turkey",640,640,1962,"TURKEY",640
"982","Austria",305,305,1962,"AUSTRIA",305
"1002","Denmark",390,390,1962,"DENMARK",390
"1012","Hungary",310,310,1962,"HUNGARY",310
"1022","Poland",290,290,1962,"POLAND",290
"1052","Belgium",211,211,1962,"BELGIUM",211
"1062","France",220,220,1962,"FRANCE",220
"1072","Liechtenstein",223,223,1962,"LIECHTENSTEIN",223
"1082","Luxembourg",212,212,1962,"LUXEMBOURG",212
"1092","Netherlands",210,210,1962,"NETHERLANDS",210
"1102","Switzerland",225,225,1962,"SWITZERLAND",225
"1132","Finland",375,375,1962,"FINLAND",375
"1172","Romania",360,360,1962,"ROMANIA",360
"1202","Oman",698,698,1962,"OMAN",698
"1212","Somalia",520,520,1962,"SOMALIA",520
"1222","Sri Lanka",780,780,1962,"SRI LANKA",780
"1292","Iran",630,630,1962,"IRAN, ISLAMIC REPUBLIC OF",630
"1301","Kuwait",690,690,1962,"KUWAIT",690
"1342","Afghanistan",700,700,1962,"AFGHANISTAN",700
"1362","Nepal",790,790,1962,"NEPAL",790
"1402","Bhutan",760,760,1962,"BHUTAN",760
"1432","Japan",740,740,1962,"JAPAN",740
"1442","North Korea",731,731,1962,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",731
"1462","Philippines",840,840,1962,"PHILIPPINES",840
"1472","South Korea",732,732,1962,"KOREA, REPUBLIC OF",732
"1482","Cambodia",811,811,1962,"CAMBODIA",811
"1492","Laos",812,812,1962,"LAO PEOPLE'S DEMOCRATIC REPUBLIC",812
"1502","Myanmar",775,775,1962,"MYANMAR",775
"1512","Thailand",800,800,1962,"THAILAND",800
"156","Burundi",516,516,1962,"BURUNDI",516
"158","Rwanda",517,517,1962,"RWANDA",517
"1692","Congo",484,484,1962,"CONGO, REPUBLIC OF",484
"1702","Congo, Democratic Republic of",490,490,1962,"CONGO, THE DEMOCRATIC REPUBLIC OF",490
"1722","Gabon",481,481,1962,"GABON",481
"1742","New Zealand",920,920,1962,"NEW ZEALAND",920
"1752","Madagascar",580,580,1962,"MADAGASCAR",580
"1782","Indonesia",850,850,1962,"INDONESIA",850
"1802","Australia",900,900,1962,"AUSTRALIA",900
"1862","Canada",20,20,1962,"CANADA",20
"1882","Germany Federal Republic",260,260,1962,"GERMANY",260
"1892","Germany Democratic Republic",265,265,1962,"German Democratic Republic",265
"1902","Czechoslovakia",315,315,1962,"Czechoslovakia",315
"1912","Yugoslavia",345,345,1962,"Yugoslavia",345
"1922","USSR",365,365,1962,"RUSSIAN FEDERATION",365
"1931","Tanzania",510,510,1962,"TANZANIA, UNITED REPUBLIC OF",510
"1952","Ethiopia",530,530,1962,"ETHIOPIA",530
"1962","South Africa",560,560,1962,"SOUTH AFRICA",560
"2002","Yemen Arab Republic",678,678,1962,"YEMEN",678
"2022","Taiwan",713,713,1962,"TAIWAN, PROVINCE OF CHINA",713
"2032","China",710,710,1962,"CHINA",710
"2042","Pakistan",770,770,1962,"PAKISTAN",770
"2052","Republic of Vietnam",817,817,1962,"VIETNAM",817
"2062","Vietnam",816,816,1962,"VIETNAM",816
"2082","Malaysia",820,820,1962,"MALAYSIA",820
"2192","Morocco",600,600,1962,"MOROCCO",600
"2272","India",750,750,1962,"INDIA",750
"2382","United States",2,2,1962,"UNITED STATES",2
"2392","Saudi Arabia",670,670,1962,"SAUDI ARABIA",670
"21","Trinidad and Tobago",52,52,1963,"TRINIDAD AND TOBAGO",52
"39","Venezuela",101,101,1963,"VENEZUELA, BOLIVARIAN REPUBLIC OF",101
"43","Samoa",990,990,1963,"SAMOA",990
"610","Argentina",160,160,1963,"ARGENTINA",160
"710","Bolivia",145,145,1963,"BOLIVIA, PLURINATIONAL STATE OF",145
"86","Brazil",140,140,1963,"BRAZIL",140
"910","Chile",155,155,1963,"CHILE",155
"1010","Ecuador",130,130,1963,"ECUADOR",130
"114","Paraguay",150,150,1963,"PARAGUAY",150
"125","Peru",135,135,1963,"PERU",135
"133","Uruguay",165,165,1963,"URUGUAY",165
"154","Guatemala",90,90,1963,"GUATEMALA",90
"163","Mexico",70,70,1963,"MEXICO",70
"223","Dominican Republic",42,42,1963,"DOMINICAN REPUBLIC",42
"233","Haiti",41,41,1963,"HAITI",41
"241","Jamaica",51,51,1963,"JAMAICA",51
"273","Colombia",100,100,1963,"COLOMBIA",100
"283","Costa Rica",94,94,1963,"COSTA RICA",94
"293","Cuba",40,40,1963,"CUBA",40
"303","El Salvador",92,92,1963,"EL SALVADOR",92
"313","Honduras",91,91,1963,"HONDURAS",91
"323","Nicaragua",93,93,1963,"NICARAGUA",93
"333","Panama",95,95,1963,"PANAMA",95
"363","Iceland",395,395,1963,"ICELAND",395
"373","Ireland",205,205,1963,"IRELAND",205
"383","United Kingdom",200,200,1963,"UNITED KINGDOM",200
"403","Cote d'Ivoire",437,437,1963,"COTE D'IVOIRE",437
"413","Ghana",452,452,1963,"GHANA",452
"423","Liberia",450,450,1963,"LIBERIA",450
"443","Portugal",235,235,1963,"PORTUGAL",235
"453","Spain",230,230,1963,"SPAIN",230
"463","Burkina Faso",439,439,1963,"BURKINA FASO",439
"473","Guinea",438,438,1963,"GUINEA",438
"493","Mali",432,432,1963,"MALI",432
"503","Mauritania",435,435,1963,"MAURITANIA",435
"513","Senegal",433,433,1963,"SENEGAL",433
"522","Sierra Leone",451,451,1963,"SIERRA LEONE",451
"573","Mongolia",712,712,1963,"MONGOLIA",712
"583","Sudan",625,625,1963,"SUDAN",625
"591","Uganda",500,500,1963,"UGANDA",500
"603","Iraq",645,645,1963,"IRAQ",645
"613","Israel",666,666,1963,"ISRAEL",666
"623","Jordan",663,663,1963,"JORDAN",663
"643","Norway",385,385,1963,"NORWAY",385
"663","Sweden",380,380,1963,"SWEDEN",380
"671","Algeria",615,615,1963,"ALGERIA",615
"683","Andorra",232,232,1963,"ANDORRA",232
"692","Cameroon",471,471,1963,"CAMEROON",471
"703","Central African Republic",482,482,1963,"CENTRAL AFRICAN REPUBLIC",482
"713","Libya",620,620,1963,"LIBYAN ARAB JAMAHIRIYA",620
"723","Monaco",221,221,1963,"MONACO",221
"733","Tunisia",616,616,1963,"TUNISIA",616
"743","Benin",434,434,1963,"BENIN",434
"753","Chad",483,483,1963,"CHAD",483
"783","Niger",436,436,1963,"NIGER",436
"792","Nigeria",475,475,1963,"NIGERIA",475
"813","Togo",461,461,1963,"TOGO",461
"823","Albania",339,339,1963,"ALBANIA",339
"853","Italy",325,325,1963,"ITALY",325
"883","San Marino",331,331,1963,"SAN MARINO",331
"903","Bulgaria",355,355,1963,"BULGARIA",355
"913","Cyprus",352,352,1963,"CYPRUS",352
"923","Egypt",651,651,1963,"EGYPT",651
"943","Greece",350,350,1963,"GREECE",350
"953","Lebanon",660,660,1963,"LEBANON",660
"963","Syria",652,652,1963,"SYRIAN ARAB REPUBLIC",652
"973","Turkey",640,640,1963,"TURKEY",640
"983","Austria",305,305,1963,"AUSTRIA",305
"1003","Denmark",390,390,1963,"DENMARK",390
"1013","Hungary",310,310,1963,"HUNGARY",310
"1023","Poland",290,290,1963,"POLAND",290
"1053","Belgium",211,211,1963,"BELGIUM",211
"1063","France",220,220,1963,"FRANCE",220
"1073","Liechtenstein",223,223,1963,"LIECHTENSTEIN",223
"1083","Luxembourg",212,212,1963,"LUXEMBOURG",212
"1093","Netherlands",210,210,1963,"NETHERLANDS",210
"1103","Switzerland",225,225,1963,"SWITZERLAND",225
"1133","Finland",375,375,1963,"FINLAND",375
"1173","Romania",360,360,1963,"ROMANIA",360
"1203","Oman",698,698,1963,"OMAN",698
"1213","Somalia",520,520,1963,"SOMALIA",520
"1223","Sri Lanka",780,780,1963,"SRI LANKA",780
"1293","Iran",630,630,1963,"IRAN, ISLAMIC REPUBLIC OF",630
"1302","Kuwait",690,690,1963,"KUWAIT",690
"1343","Afghanistan",700,700,1963,"AFGHANISTAN",700
"1363","Nepal",790,790,1963,"NEPAL",790
"1403","Bhutan",760,760,1963,"BHUTAN",760
"1433","Japan",740,740,1963,"JAPAN",740
"1443","North Korea",731,731,1963,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",731
"1463","Philippines",840,840,1963,"PHILIPPINES",840
"1473","South Korea",732,732,1963,"KOREA, REPUBLIC OF",732
"1483","Cambodia",811,811,1963,"CAMBODIA",811
"1493","Laos",812,812,1963,"LAO PEOPLE'S DEMOCRATIC REPUBLIC",812
"1503","Myanmar",775,775,1963,"MYANMAR",775
"1513","Thailand",800,800,1963,"THAILAND",800
"1561","Burundi",516,516,1963,"BURUNDI",516
"157","Kenya",501,501,1963,"KENYA",501
"1581","Rwanda",517,517,1963,"RWANDA",517
"1693","Congo",484,484,1963,"CONGO, REPUBLIC OF",484
"1703","Congo, Democratic Republic of",490,490,1963,"CONGO, THE DEMOCRATIC REPUBLIC OF",490
"1723","Gabon",481,481,1963,"GABON",481
"1743","New Zealand",920,920,1963,"NEW ZEALAND",920
"1753","Madagascar",580,580,1963,"MADAGASCAR",580
"1803","Australia",900,900,1963,"AUSTRALIA",900
"1863","Canada",20,20,1963,"CANADA",20
"1883","Germany Federal Republic",260,260,1963,"GERMANY",260
"1893","Germany Democratic Republic",265,265,1963,"German Democratic Republic",265
"1903","Czechoslovakia",315,315,1963,"Czechoslovakia",315
"1913","Yugoslavia",345,345,1963,"Yugoslavia",345
"1923","USSR",365,365,1963,"RUSSIAN FEDERATION",365
"1932","Tanzania",510,510,1963,"TANZANIA, UNITED REPUBLIC OF",510
"194","Zanzibar",511,511,1963,"Zanzibar",511
"1953","Ethiopia",530,530,1963,"ETHIOPIA",530
"1963","South Africa",560,560,1963,"SOUTH AFRICA",560
"2003","Yemen Arab Republic",678,678,1963,"YEMEN",678
"2023","Taiwan",713,713,1963,"TAIWAN, PROVINCE OF CHINA",713
"2033","China",710,710,1963,"CHINA",710
"2043","Pakistan",770,770,1963,"PAKISTAN",770
"2053","Republic of Vietnam",817,817,1963,"VIETNAM",817
"2063","Vietnam",816,816,1963,"VIETNAM",816
"207","Malaysia",820,820,1963,"MALAYSIA",820
"211","Indonesia",850,850,1963,"INDONESIA",850
"2193","Morocco",600,600,1963,"MOROCCO",600
"2273","India",750,750,1963,"INDIA",750
"2383","United States",2,2,1963,"UNITED STATES",2
"2393","Saudi Arabia",670,670,1963,"SAUDI ARABIA",670
"25","Trinidad and Tobago",52,52,1964,"TRINIDAD AND TOBAGO",52
"310","Venezuela",101,101,1964,"VENEZUELA, BOLIVARIAN REPUBLIC OF",101
"48","Samoa",990,990,1964,"SAMOA",990
"614","Argentina",160,160,1964,"ARGENTINA",160
"714","Bolivia",145,145,1964,"BOLIVIA, PLURINATIONAL STATE OF",145
"89","Brazil",140,140,1964,"BRAZIL",140
"914","Chile",155,155,1964,"CHILE",155
"1014","Ecuador",130,130,1964,"ECUADOR",130
"115","Paraguay",150,150,1964,"PARAGUAY",150
"126","Peru",135,135,1964,"PERU",135
"135","Uruguay",165,165,1964,"URUGUAY",165
"155","Guatemala",90,90,1964,"GUATEMALA",90
"165","Mexico",70,70,1964,"MEXICO",70
"224","Dominican Republic",42,42,1964,"DOMINICAN REPUBLIC",42
"234","Haiti",41,41,1964,"HAITI",41
"242","Jamaica",51,51,1964,"JAMAICA",51
"274","Colombia",100,100,1964,"COLOMBIA",100
"284","Costa Rica",94,94,1964,"COSTA RICA",94
"294","Cuba",40,40,1964,"CUBA",40
"304","El Salvador",92,92,1964,"EL SALVADOR",92
"314","Honduras",91,91,1964,"HONDURAS",91
"324","Nicaragua",93,93,1964,"NICARAGUA",93
